PK,O*NET-SOC Code,Title,Related O*NET-SOC Code,Related Title,Relatedness Tier,Index
17174,51-9161.00,Computer Numerically Controlled Tool Operators,17-3024.01,Robotics Technicians,Supplemental,14
17175,51-9161.00,Computer Numerically Controlled Tool Operators,51-2011.00,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",Supplemental,15
17176,51-9161.00,Computer Numerically Controlled Tool Operators,51-4111.00,Tool and Die Makers,Supplemental,16
17177,51-9161.00,Computer Numerically Controlled Tool Operators,51-2022.00,Electrical and Electronic Equipment Assemblers,Supplemental,17
17178,51-9161.00,Computer Numerically Controlled Tool Operators,51-4021.00,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",Supplemental,18
17179,51-9161.00,Computer Numerically Controlled Tool Operators,51-4022.00,"Forging Machine Setters, Operators, and Tenders, Metal and Plastic",Supplemental,19
17180,51-9161.00,Computer Numerically Controlled Tool Operators,51-9032.00,"Cutting and Slicing Machine Setters, Operators, and Tenders",Supplemental,20
17181,51-9162.00,Computer Numerically Controlled Tool Programmers,51-9161.00,Computer Numerically Controlled Tool Operators,Primary-Short,1
17182,51-9162.00,Computer Numerically Controlled Tool Programmers,51-4041.00,Machinists,Primary-Short,2
17183,51-9162.00,Computer Numerically Controlled Tool Programmers,17-3024.01,Robotics Technicians,Primary-Short,3
17184,51-9162.00,Computer Numerically Controlled Tool Programmers,51-2023.00,Electromechanical Equipment Assemblers,Primary-Short,4
17185,51-9162.00,Computer Numerically Controlled Tool Programmers,17-3027.00,Mechanical Engineering Technologists and Technicians,Primary-Short,5
17186,51-9162.00,Computer Numerically Controlled Tool Programmers,17-3013.00,Mechanical Drafters,Primary-Long,6
17187,51-9162.00,Computer Numerically Controlled Tool Programmers,17-3023.00,Electrical and Electronic Engineering Technologists and Technicians,Primary-Long,7
17188,51-9162.00,Computer Numerically Controlled Tool Programmers,17-3028.00,Calibration Technologists and Technicians,Primary-Long,8
17189,51-9162.00,Computer Numerically Controlled Tool Programmers,51-4061.00,"Model Makers, Metal and Plastic",Primary-Long,9
17190,51-9162.00,Computer Numerically Controlled Tool Programmers,51-4062.00,"Patternmakers, Metal and Plastic",Primary-Long,10
17191,51-9162.00,Computer Numerically Controlled Tool Programmers,15-1252.00,Software Developers,Supplemental,11
17192,51-9162.00,Computer Numerically Controlled Tool Programmers,17-2199.05,Mechatronics Engineers,Supplemental,12
17193,51-9162.00,Computer Numerically Controlled Tool Programmers,15-1251.00,Computer Programmers,Supplemental,13
17194,51-9162.00,Computer Numerically Controlled Tool Programmers,51-2022.00,Electrical and Electronic Equipment Assemblers,Supplemental,14
17195,51-9162.00,Computer Numerically Controlled Tool Programmers,51-2031.00,Engine and Other Machine Assemblers,Supplemental,15
17196,51-9162.00,Computer Numerically Controlled Tool Programmers,17-2072.00,"Electronics Engineers, Except Computer",Supplemental,16
17197,51-9162.00,Computer Numerically Controlled Tool Programmers,17-2061.00,Computer Hardware Engineers,Supplemental,17
17198,51-9162.00,Computer Numerically Controlled Tool Programmers,51-2011.00,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",Supplemental,18
17199,51-9162.00,Computer Numerically Controlled Tool Programmers,17-3012.00,Electrical and Electronics Drafters,Supplemental,19
17200,51-9162.00,Computer Numerically Controlled Tool Programmers,49-2094.00,"Electrical and Electronics Repairers, Commercial and Industrial Equipment",Supplemental,20
17201,51-9191.00,Adhesive Bonding Machine Operators and Tenders,51-9196.00,"Paper Goods Machine Setters, Operators, and Tenders",Primary-Short,1
17202,51-9191.00,Adhesive Bonding Machine Operators and Tenders,51-9032.00,"Cutting and Slicing Machine Setters, Operators, and Tenders",Primary-Short,2
17203,51-9191.00,Adhesive Bonding Machine Operators and Tenders,53-7063.00,Machine Feeders and Offbearers,Primary-Short,3
17204,51-9191.00,Adhesive Bonding Machine Operators and Tenders,51-9041.00,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",Primary-Short,4
17205,51-9191.00,Adhesive Bonding Machine Operators and Tenders,51-4023.00,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",Primary-Short,5
17206,51-9191.00,Adhesive Bonding Machine Operators and Tenders,51-9111.00,Packaging and Filling Machine Operators and Tenders,Primary-Long,6
17207,51-9191.00,Adhesive Bonding Machine Operators and Tenders,51-6091.00,"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers",Primary-Long,7
17208,51-9191.00,Adhesive Bonding Machine Operators and Tenders,51-7042.00,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",Primary-Long,8
17209,51-9191.00,Adhesive Bonding Machine Operators and Tenders,51-6062.00,"Textile Cutting Machine Setters, Operators, and Tenders",Primary-Long,9
17210,51-9191.00,Adhesive Bonding Machine Operators and Tenders,51-9022.00,"Grinding and Polishing Workers, Hand",Primary-Long,10
17211,51-9191.00,Adhesive Bonding Machine Operators and Tenders,51-4033.00,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",Supplemental,11
17212,51-9191.00,Adhesive Bonding Machine Operators and Tenders,51-4031.00,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",Supplemental,12
17213,51-9191.00,Adhesive Bonding Machine Operators and Tenders,51-4072.00,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",Supplemental,13
17214,51-9191.00,Adhesive Bonding Machine Operators and Tenders,51-4081.00,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",Supplemental,14
17215,51-9191.00,Adhesive Bonding Machine Operators and Tenders,51-4021.00,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",Supplemental,15
17216,51-9191.00,Adhesive Bonding Machine Operators and Tenders,49-9041.00,Industrial Machinery Mechanics,Supplemental,16
17217,51-9191.00,Adhesive Bonding Machine Operators and Tenders,51-6042.00,Shoe Machine Operators and Tenders,Supplemental,17
17218,51-9191.00,Adhesive Bonding Machine Operators and Tenders,51-9021.00,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",Supplemental,18
17219,51-9191.00,Adhesive Bonding Machine Operators and Tenders,51-9195.00,"Molders, Shapers, and Casters, Except Metal and Plastic",Supplemental,19
17220,51-9191.00,Adhesive Bonding Machine Operators and Tenders,51-4035.00,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",Supplemental,20
17221,51-9192.00,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",51-9012.00,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",Primary-Short,1
17222,51-9192.00,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",51-9023.00,"Mixing and Blending Machine Setters, Operators, and Tenders",Primary-Short,2
17223,51-9192.00,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",51-6061.00,Textile Bleaching and Dyeing Machine Operators and Tenders,Primary-Short,3
17224,51-9192.00,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",51-9051.00,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",Primary-Short,4
17225,51-9192.00,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",53-7061.00,Cleaners of Vehicles and Equipment,Primary-Short,5
17226,51-9192.00,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",51-8091.00,Chemical Plant and System Operators,Primary-Long,6
17227,51-9192.00,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",51-6011.00,Laundry and Dry-Cleaning Workers,Primary-Long,7
17228,51-9192.00,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",51-9021.00,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",Primary-Long,8
17229,51-9192.00,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",51-9193.00,Cooling and Freezing Equipment Operators and Tenders,Primary-Long,9
17230,51-9192.00,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",51-4191.00,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",Primary-Long,10
17231,51-9192.00,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",51-9041.00,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",Supplemental,11
17232,51-9192.00,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",51-9011.00,Chemical Equipment Operators and Tenders,Supplemental,12
17233,51-9192.00,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",51-9191.00,Adhesive Bonding Machine Operators and Tenders,Supplemental,13
17234,51-9192.00,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",51-3091.00,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",Supplemental,14
17235,51-9192.00,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",51-9111.00,Packaging and Filling Machine Operators and Tenders,Supplemental,15
17236,51-9192.00,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",53-7063.00,Machine Feeders and Offbearers,Supplemental,16
17237,51-9192.00,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",51-4033.00,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",Supplemental,17
17238,51-9192.00,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",51-4051.00,Metal-Refining Furnace Operators and Tenders,Supplemental,18
17239,51-9192.00,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",51-3093.00,Food Cooking Machine Operators and Tenders,Supplemental,19
17240,51-9192.00,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",51-4193.00,"Plating Machine Setters, Operators, and Tenders, Metal and Plastic",Supplemental,20
17241,51-9193.00,Cooling and Freezing Equipment Operators and Tenders,51-9192.00,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",Primary-Short,1
17242,51-9193.00,Cooling and Freezing Equipment Operators and Tenders,51-9012.00,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",Primary-Short,2
17243,51-9193.00,Cooling and Freezing Equipment Operators and Tenders,51-4191.00,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",Primary-Short,3
17244,51-9193.00,Cooling and Freezing Equipment Operators and Tenders,51-9051.00,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",Primary-Short,4
17245,51-9193.00,Cooling and Freezing Equipment Operators and Tenders,51-3091.00,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",Primary-Short,5
17246,51-9193.00,Cooling and Freezing Equipment Operators and Tenders,51-3093.00,Food Cooking Machine Operators and Tenders,Primary-Long,6
17247,51-9193.00,Cooling and Freezing Equipment Operators and Tenders,51-4051.00,Metal-Refining Furnace Operators and Tenders,Primary-Long,7
17248,51-9193.00,Cooling and Freezing Equipment Operators and Tenders,51-3092.00,Food Batchmakers,Primary-Long,8
17249,51-9193.00,Cooling and Freezing Equipment Operators and Tenders,51-8021.00,Stationary Engineers and Boiler Operators,Primary-Long,9
17250,51-9193.00,Cooling and Freezing Equipment Operators and Tenders,51-9041.00,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",Primary-Long,10
17251,51-9193.00,Cooling and Freezing Equipment Operators and Tenders,51-9111.00,Packaging and Filling Machine Operators and Tenders,Supplemental,11
17252,51-9193.00,Cooling and Freezing Equipment Operators and Tenders,51-9023.00,"Mixing and Blending Machine Setters, Operators, and Tenders",Supplemental,12
17253,51-9193.00,Cooling and Freezing Equipment Operators and Tenders,49-9041.00,Industrial Machinery Mechanics,Supplemental,13
17254,51-9193.00,Cooling and Freezing Equipment Operators and Tenders,51-8013.03,Biomass Plant Technicians,Supplemental,14
17255,51-9193.00,Cooling and Freezing Equipment Operators and Tenders,53-7071.00,Gas Compressor and Gas Pumping Station Operators,Supplemental,15
17256,51-9193.00,Cooling and Freezing Equipment Operators and Tenders,51-9021.00,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",Supplemental,16
17257,51-9193.00,Cooling and Freezing Equipment Operators and Tenders,51-4023.00,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",Supplemental,17
17258,51-9193.00,Cooling and Freezing Equipment Operators and Tenders,51-9196.00,"Paper Goods Machine Setters, Operators, and Tenders",Supplemental,18
17259,51-9193.00,Cooling and Freezing Equipment Operators and Tenders,51-6091.00,"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers",Supplemental,19
17260,51-9193.00,Cooling and Freezing Equipment Operators and Tenders,51-4072.00,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",Supplemental,20
17261,51-9194.00,Etchers and Engravers,51-9123.00,"Painting, Coating, and Decorating Workers",Primary-Short,1
17262,51-9194.00,Etchers and Engravers,51-4062.00,"Patternmakers, Metal and Plastic",Primary-Short,2
17263,51-9194.00,Etchers and Engravers,51-9022.00,"Grinding and Polishing Workers, Hand",Primary-Short,3
17264,51-9194.00,Etchers and Engravers,51-9071.00,Jewelers and Precious Stone and Metal Workers,Primary-Short,4
17265,51-9194.00,Etchers and Engravers,51-9195.00,"Molders, Shapers, and Casters, Except Metal and Plastic",Primary-Short,5
17266,51-9194.00,Etchers and Engravers,51-9195.03,"Stone Cutters and Carvers, Manufacturing",Primary-Long,6
17267,51-9194.00,Etchers and Engravers,51-4111.00,Tool and Die Makers,Primary-Long,7
17268,51-9194.00,Etchers and Engravers,51-5111.00,Prepress Technicians and Workers,Primary-Long,8
17269,51-9194.00,Etchers and Engravers,51-4035.00,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",Primary-Long,9
17270,51-9194.00,Etchers and Engravers,51-4033.00,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",Primary-Long,10
17271,51-9194.00,Etchers and Engravers,51-4194.00,"Tool Grinders, Filers, and Sharpeners",Supplemental,11
17272,51-9194.00,Etchers and Engravers,51-9083.00,Ophthalmic Laboratory Technicians,Supplemental,12
17273,51-9194.00,Etchers and Engravers,51-4031.00,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",Supplemental,13
17274,51-9194.00,Etchers and Engravers,51-9031.00,"Cutters and Trimmers, Hand",Supplemental,14
17275,51-9194.00,Etchers and Engravers,51-9032.00,"Cutting and Slicing Machine Setters, Operators, and Tenders",Supplemental,15
17276,51-9194.00,Etchers and Engravers,51-4192.00,"Layout Workers, Metal and Plastic",Supplemental,16
17277,51-9194.00,Etchers and Engravers,51-7021.00,Furniture Finishers,Supplemental,17
17278,51-9194.00,Etchers and Engravers,51-5112.00,Printing Press Operators,Supplemental,18
17279,51-9194.00,Etchers and Engravers,51-6092.00,Fabric and Apparel Patternmakers,Supplemental,19
17280,51-9194.00,Etchers and Engravers,51-4071.00,Foundry Mold and Coremakers,Supplemental,20
17281,51-9195.00,"Molders, Shapers, and Casters, Except Metal and Plastic",51-4071.00,Foundry Mold and Coremakers,Primary-Short,1
17282,51-9195.00,"Molders, Shapers, and Casters, Except Metal and Plastic",51-9022.00,"Grinding and Polishing Workers, Hand",Primary-Short,2
17283,51-9195.00,"Molders, Shapers, and Casters, Except Metal and Plastic",51-9123.00,"Painting, Coating, and Decorating Workers",Primary-Short,3
17284,51-9195.00,"Molders, Shapers, and Casters, Except Metal and Plastic",51-9041.00,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",Primary-Short,4
17285,51-9195.00,"Molders, Shapers, and Casters, Except Metal and Plastic",51-9032.00,"Cutting and Slicing Machine Setters, Operators, and Tenders",Primary-Short,5
17286,51-9195.00,"Molders, Shapers, and Casters, Except Metal and Plastic",51-9031.00,"Cutters and Trimmers, Hand",Primary-Long,6
17287,51-9195.00,"Molders, Shapers, and Casters, Except Metal and Plastic",51-9195.03,"Stone Cutters and Carvers, Manufacturing",Primary-Long,7
17288,51-9195.00,"Molders, Shapers, and Casters, Except Metal and Plastic",53-7063.00,Machine Feeders and Offbearers,Primary-Long,8
17289,51-9195.00,"Molders, Shapers, and Casters, Except Metal and Plastic",51-9195.04,"Glass Blowers, Molders, Benders, and Finishers",Primary-Long,9
17290,51-9195.00,"Molders, Shapers, and Casters, Except Metal and Plastic",51-9195.05,"Potters, Manufacturing",Primary-Long,10
17291,51-9195.00,"Molders, Shapers, and Casters, Except Metal and Plastic",51-4072.00,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",Supplemental,11
17292,51-9195.00,"Molders, Shapers, and Casters, Except Metal and Plastic",51-2051.00,Fiberglass Laminators and Fabricators,Supplemental,12
17293,51-9195.00,"Molders, Shapers, and Casters, Except Metal and Plastic",51-4062.00,"Patternmakers, Metal and Plastic",Supplemental,13
17294,51-9195.00,"Molders, Shapers, and Casters, Except Metal and Plastic",49-9045.00,"Refractory Materials Repairers, Except Brickmasons",Supplemental,14
17295,51-9195.00,"Molders, Shapers, and Casters, Except Metal and Plastic",51-7042.00,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",Supplemental,15
17296,51-9195.00,"Molders, Shapers, and Casters, Except Metal and Plastic",51-4111.00,Tool and Die Makers,Supplemental,16
17297,51-9195.00,"Molders, Shapers, and Casters, Except Metal and Plastic",51-7021.00,Furniture Finishers,Supplemental,17
17298,51-9195.00,"Molders, Shapers, and Casters, Except Metal and Plastic",51-4033.00,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",Supplemental,18
17299,51-9195.00,"Molders, Shapers, and Casters, Except Metal and Plastic",51-9191.00,Adhesive Bonding Machine Operators and Tenders,Supplemental,19
17300,51-9195.00,"Molders, Shapers, and Casters, Except Metal and Plastic",51-2041.00,Structural Metal Fabricators and Fitters,Supplemental,20
17301,51-9195.03,"Stone Cutters and Carvers, Manufacturing",51-9195.00,"Molders, Shapers, and Casters, Except Metal and Plastic",Primary-Short,1
17302,51-9195.03,"Stone Cutters and Carvers, Manufacturing",47-2044.00,Tile and Stone Setters,Primary-Short,2
17303,51-9195.03,"Stone Cutters and Carvers, Manufacturing",47-2053.00,Terrazzo Workers and Finishers,Primary-Short,3
17304,51-9195.03,"Stone Cutters and Carvers, Manufacturing",51-9022.00,"Grinding and Polishing Workers, Hand",Primary-Short,4
17305,51-9195.03,"Stone Cutters and Carvers, Manufacturing",47-2022.00,Stonemasons,Primary-Short,5
17306,51-9195.03,"Stone Cutters and Carvers, Manufacturing",51-7021.00,Furniture Finishers,Primary-Long,6
17307,51-9195.03,"Stone Cutters and Carvers, Manufacturing",51-9194.00,Etchers and Engravers,Primary-Long,7
17308,51-9195.03,"Stone Cutters and Carvers, Manufacturing",51-7011.00,Cabinetmakers and Bench Carpenters,Primary-Long,8
17309,51-9195.03,"Stone Cutters and Carvers, Manufacturing",51-2041.00,Structural Metal Fabricators and Fitters,Primary-Long,9
17310,51-9195.03,"Stone Cutters and Carvers, Manufacturing",51-4192.00,"Layout Workers, Metal and Plastic",Primary-Long,10
17311,51-9195.03,"Stone Cutters and Carvers, Manufacturing",51-7042.00,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",Supplemental,11
17312,51-9195.03,"Stone Cutters and Carvers, Manufacturing",51-9071.00,Jewelers and Precious Stone and Metal Workers,Supplemental,12
17313,51-9195.03,"Stone Cutters and Carvers, Manufacturing",47-2021.00,Brickmasons and Blockmasons,Supplemental,13
17314,51-9195.03,"Stone Cutters and Carvers, Manufacturing",47-5051.00,"Rock Splitters, Quarry",Supplemental,14
17315,51-9195.03,"Stone Cutters and Carvers, Manufacturing",51-9123.00,"Painting, Coating, and Decorating Workers",Supplemental,15
17316,51-9195.03,"Stone Cutters and Carvers, Manufacturing",51-7032.00,"Patternmakers, Wood",Supplemental,16
17317,51-9195.03,"Stone Cutters and Carvers, Manufacturing",51-4033.00,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",Supplemental,17
17318,51-9195.03,"Stone Cutters and Carvers, Manufacturing",47-2051.00,Cement Masons and Concrete Finishers,Supplemental,18
17319,51-9195.03,"Stone Cutters and Carvers, Manufacturing",51-9031.00,"Cutters and Trimmers, Hand",Supplemental,19
17320,51-9195.03,"Stone Cutters and Carvers, Manufacturing",51-4194.00,"Tool Grinders, Filers, and Sharpeners",Supplemental,20
17321,51-9195.04,"Glass Blowers, Molders, Benders, and Finishers",51-9195.00,"Molders, Shapers, and Casters, Except Metal and Plastic",Primary-Short,1
17322,51-9195.04,"Glass Blowers, Molders, Benders, and Finishers",51-4072.00,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",Primary-Short,2
17323,51-9195.04,"Glass Blowers, Molders, Benders, and Finishers",51-9041.00,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",Primary-Short,3
17324,51-9195.04,"Glass Blowers, Molders, Benders, and Finishers",51-9032.00,"Cutting and Slicing Machine Setters, Operators, and Tenders",Primary-Short,4
17325,51-9195.04,"Glass Blowers, Molders, Benders, and Finishers",51-4122.00,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",Primary-Short,5
17326,51-9195.04,"Glass Blowers, Molders, Benders, and Finishers",51-4191.00,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",Primary-Long,6
17327,51-9195.04,"Glass Blowers, Molders, Benders, and Finishers",51-7042.00,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",Primary-Long,7
17328,51-9195.04,"Glass Blowers, Molders, Benders, and Finishers",51-4111.00,Tool and Die Makers,Primary-Long,8
17329,51-9195.04,"Glass Blowers, Molders, Benders, and Finishers",53-7063.00,Machine Feeders and Offbearers,Primary-Long,9
17330,51-9195.04,"Glass Blowers, Molders, Benders, and Finishers",51-9195.03,"Stone Cutters and Carvers, Manufacturing",Primary-Long,10
17331,51-9195.04,"Glass Blowers, Molders, Benders, and Finishers",51-9022.00,"Grinding and Polishing Workers, Hand",Supplemental,11
17332,51-9195.04,"Glass Blowers, Molders, Benders, and Finishers",51-9083.00,Ophthalmic Laboratory Technicians,Supplemental,12
17333,51-9195.04,"Glass Blowers, Molders, Benders, and Finishers",51-4051.00,Metal-Refining Furnace Operators and Tenders,Supplemental,13
17334,51-9195.04,"Glass Blowers, Molders, Benders, and Finishers",51-6091.00,"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers",Supplemental,14
17335,51-9195.04,"Glass Blowers, Molders, Benders, and Finishers",51-4121.00,"Welders, Cutters, Solderers, and Brazers",Supplemental,15
17336,51-9195.04,"Glass Blowers, Molders, Benders, and Finishers",51-4033.00,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",Supplemental,16
17337,51-9195.04,"Glass Blowers, Molders, Benders, and Finishers",49-9041.00,Industrial Machinery Mechanics,Supplemental,17
17338,51-9195.04,"Glass Blowers, Molders, Benders, and Finishers",51-4031.00,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",Supplemental,18
17339,51-9195.04,"Glass Blowers, Molders, Benders, and Finishers",51-2031.00,Engine and Other Machine Assemblers,Supplemental,19
17340,51-9195.04,"Glass Blowers, Molders, Benders, and Finishers",47-2211.00,Sheet Metal Workers,Supplemental,20
17341,51-9195.05,"Potters, Manufacturing",51-9195.00,"Molders, Shapers, and Casters, Except Metal and Plastic",Primary-Short,1
17342,51-9195.05,"Potters, Manufacturing",51-9071.00,Jewelers and Precious Stone and Metal Workers,Primary-Short,2
17343,51-9195.05,"Potters, Manufacturing",27-1012.00,Craft Artists,Primary-Short,3
17344,51-9195.05,"Potters, Manufacturing",51-9123.00,"Painting, Coating, and Decorating Workers",Primary-Short,4
17345,51-9195.05,"Potters, Manufacturing",51-9195.03,"Stone Cutters and Carvers, Manufacturing",Primary-Short,5
17346,51-9195.05,"Potters, Manufacturing",51-9194.00,Etchers and Engravers,Primary-Long,6
17347,51-9195.05,"Potters, Manufacturing",51-4071.00,Foundry Mold and Coremakers,Primary-Long,7
17348,51-9195.05,"Potters, Manufacturing",51-9022.00,"Grinding and Polishing Workers, Hand",Primary-Long,8
17349,51-9195.05,"Potters, Manufacturing",51-9195.04,"Glass Blowers, Molders, Benders, and Finishers",Primary-Long,9
17350,51-9195.05,"Potters, Manufacturing",51-6051.00,"Sewers, Hand",Primary-Long,10
17351,51-9195.05,"Potters, Manufacturing",49-9045.00,"Refractory Materials Repairers, Except Brickmasons",Supplemental,11
17352,51-9195.05,"Potters, Manufacturing",51-4022.00,"Forging Machine Setters, Operators, and Tenders, Metal and Plastic",Supplemental,12
17353,51-9195.05,"Potters, Manufacturing",51-4062.00,"Patternmakers, Metal and Plastic",Supplemental,13
17354,51-9195.05,"Potters, Manufacturing",51-7021.00,Furniture Finishers,Supplemental,14
17355,51-9195.05,"Potters, Manufacturing",51-4033.00,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",Supplemental,15
17356,51-9195.05,"Potters, Manufacturing",51-4194.00,"Tool Grinders, Filers, and Sharpeners",Supplemental,16
17357,51-9195.05,"Potters, Manufacturing",51-9032.00,"Cutting and Slicing Machine Setters, Operators, and Tenders",Supplemental,17
17358,51-9195.05,"Potters, Manufacturing",51-7032.00,"Patternmakers, Wood",Supplemental,18
17359,51-9195.05,"Potters, Manufacturing",51-6041.00,Shoe and Leather Workers and Repairers,Supplemental,19
17360,51-9195.05,"Potters, Manufacturing",51-4072.00,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",Supplemental,20
17361,51-9196.00,"Paper Goods Machine Setters, Operators, and Tenders",51-9191.00,Adhesive Bonding Machine Operators and Tenders,Primary-Short,1
17362,51-9196.00,"Paper Goods Machine Setters, Operators, and Tenders",51-9032.00,"Cutting and Slicing Machine Setters, Operators, and Tenders",Primary-Short,2
17363,51-9196.00,"Paper Goods Machine Setters, Operators, and Tenders",51-6062.00,"Textile Cutting Machine Setters, Operators, and Tenders",Primary-Short,3
17364,51-9196.00,"Paper Goods Machine Setters, Operators, and Tenders",51-6091.00,"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers",Primary-Short,4
17365,51-9196.00,"Paper Goods Machine Setters, Operators, and Tenders",53-7063.00,Machine Feeders and Offbearers,Primary-Short,5
17366,51-9196.00,"Paper Goods Machine Setters, Operators, and Tenders",51-4031.00,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",Primary-Long,6
17367,51-9196.00,"Paper Goods Machine Setters, Operators, and Tenders",51-9041.00,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",Primary-Long,7
17368,51-9196.00,"Paper Goods Machine Setters, Operators, and Tenders",51-7042.00,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",Primary-Long,8
17369,51-9196.00,"Paper Goods Machine Setters, Operators, and Tenders",51-4023.00,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",Primary-Long,9
17370,51-9196.00,"Paper Goods Machine Setters, Operators, and Tenders",49-9041.00,Industrial Machinery Mechanics,Primary-Long,10
17371,51-9196.00,"Paper Goods Machine Setters, Operators, and Tenders",51-4081.00,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",Supplemental,11
17372,51-9196.00,"Paper Goods Machine Setters, Operators, and Tenders",51-9111.00,Packaging and Filling Machine Operators and Tenders,Supplemental,12
17373,51-9196.00,"Paper Goods Machine Setters, Operators, and Tenders",51-4034.00,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",Supplemental,13
